Jahr,Anzahl_Sitze,Partei
1936,0,Andere
1937,4,FDP
1937,2,CVP
1937,0,SP
1937,1,SVP
1937,0,BDP
1937,0,LP
1937,0,Andere
1938,4,FDP
1938,2,CVP
1938,0,SP
1938,1,SVP
1938,0,BDP
1938,0,LP
1938,0,Andere
1939,4,FDP
1939,2,CVP
1939,0,SP
1939,1,SVP
1939,0,BDP
1939,0,LP
1939,0,Andere
1940,4,FDP
1940,2,CVP
1940,0,SP
1940,1,SVP
1940,0,BDP
1940,0,LP
1940,0,Andere
1941,4,FDP
1941,2,CVP
1941,0,SP
1941,1,SVP
1941,0,BDP
1941,0,LP
1941,0,Andere
1942,4,FDP
1942,2,CVP
1942,0,SP
1942,1,SVP
1942,0,BDP
1942,0,LP
1942,0,Andere
1943,4,FDP
1943,2,CVP
1943,0,SP
1943,1,SVP
1943,0,BDP
1943,0,LP
1943,0,Andere
1944,3,FDP
1944,2,CVP
1944,1,SP
1944,1,SVP
1944,0,BDP
1944,0,LP
1944,0,Andere
1945,3,FDP
1945,2,CVP
1945,1,SP
1945,1,SVP
1945,0,BDP
1945,0,LP
1945,0,Andere
1946,3,FDP
1946,2,CVP
1946,1,SP
1946,1,SVP
1946,0,BDP
1946,0,LP
1946,0,Andere
1947,3,FDP
1947,2,CVP
1947,1,SP
1947,1,SVP
1947,0,BDP
1947,0,LP
1947,0,Andere
1948,3,FDP
1948,2,CVP
1948,1,SP
1948,1,SVP
1948,0,BDP
1948,0,LP
1948,0,Andere
1949,3,FDP
1949,2,CVP
1949,1,SP
1949,1,SVP
1949,0,BDP
1949,0,LP
1949,0,Andere
1950,3,FDP
1950,2,CVP
1950,1,SP
1950,1,SVP
1950,0,BDP
1950,0,LP
1950,0,Andere
1951,3,FDP
1951,2,CVP
1951,1,SP
1951,1,SVP
1951,0,BDP
1951,0,LP
1951,0,Andere
1952,3,FDP
1952,2,CVP
1952,1,SP
1952,1,SVP
1952,0,BDP
1952,0,LP
1952,0,Andere
1953,3,FDP
1953,2,CVP
1953,1,SP
1953,1,SVP
1953,0,BDP
1953,0,LP
1953,0,Andere
1954,3,FDP
1954,2,CVP
1954,1,SP
1954,1,SVP
1954,0,BDP
1954,0,LP
1954,0,Andere
1955,3,FDP
1955,2,CVP
1955,1,SP
1955,1,SVP
1955,0,BDP
1955,0,LP
1955,0,Andere
1956,3,FDP
1956,2,CVP
1956,1,SP
1956,1,SVP
1956,0,BDP
1956,0,LP
1956,0,Andere
1957,3,FDP
1957,2,CVP
1957,1,SP
1957,1,SVP
1957,0,BDP
1957,0,LP
1957,0,Andere
1958,3,FDP
1958,2,CVP
1958,1,SP
1958,1,SVP
1958,0,BDP
1958,0,LP
1958,0,Andere
1959,3,FDP
1959,2,CVP
1959,1,SP
1959,1,SVP
1959,0,BDP
1959,0,LP
1959,0,Andere
1960,2,FDP
1960,2,CVP
1960,2,SP
1960,1,SVP
1960,0,BDP
1960,0,LP
1960,0,Andere
1961,2,FDP
1961,2,CVP
1961,2,SP
1961,1,SVP
1961,0,BDP
1961,0,LP
1961,0,Andere
1962,2,FDP
1962,2,CVP
1962,2,SP
1962,1,SVP
1962,0,BDP
1962,0,LP
1962,0,Andere
1963,2,FDP
1963,2,CVP
1963,2,SP
1963,1,SVP
1963,0,BDP
1963,0,LP
1963,0,Andere
1964,2,FDP
1964,2,CVP
1964,2,SP
1964,1,SVP
1964,0,BDP
1964,0,LP
1964,0,Andere
1965,2,FDP
1965,2,CVP
1965,2,SP
1965,1,SVP
1965,0,BDP
1965,0,LP
1965,0,Andere
1966,2,FDP
1966,2,CVP
1966,2,SP
1966,1,SVP
1966,0,BDP
1966,0,LP
1966,0,Andere
1967,2,FDP
1967,2,CVP
1967,2,SP
1967,1,SVP
1967,0,BDP
1967,0,LP
1967,0,Andere
1968,2,FDP
1968,2,CVP
1968,2,SP
1968,1,SVP
1968,0,BDP
1968,0,LP
1968,0,Andere
1969,2,FDP
1969,2,CVP
1969,2,SP
1969,1,SVP
1969,0,BDP
1969,0,LP
1969,0,Andere
1970,2,FDP
1970,2,CVP
1970,2,SP
1970,1,SVP
1970,0,BDP
1970,0,LP
1970,0,Andere
1971,2,FDP
1971,2,CVP
1971,2,SP
1971,1,SVP
1971,0,BDP
1971,0,LP
1971,0,Andere
1972,2,FDP
1972,2,CVP
1972,2,SP
1972,1,SVP
1972,0,BDP
1972,0,LP
1972,0,Andere
1973,2,FDP
1973,2,CVP
1973,2,SP
1973,1,SVP
1973,0,BDP
1973,0,LP
1973,0,Andere
1974,2,FDP
1974,2,CVP
1974,2,SP
1974,1,SVP
1974,0,BDP
1974,0,LP
1974,0,Andere
1975,2,FDP
1975,2,CVP
1975,2,SP
1975,1,SVP
1975,0,BDP
1975,0,LP
1975,0,Andere
1976,2,FDP
1976,2,CVP
1976,2,SP
1976,1,SVP
1976,0,BDP
1976,0,LP
1976,0,Andere
1977,2,FDP
1977,2,CVP
1977,2,SP
1977,1,SVP
1977,0,BDP
1977,0,LP
1977,0,Andere
1978,2,FDP
1978,2,CVP
1978,2,SP
1978,1,SVP
1978,0,BDP
1978,0,LP
1978,0,Andere
1979,2,FDP
1979,2,CVP
1979,2,SP
1979,1,SVP
1979,0,BDP
1979,0,LP
1979,0,Andere
1980,2,FDP
1980,2,CVP
1980,2,SP
1980,1,SVP
1980,0,BDP
1980,0,LP
1980,0,Andere
1981,2,FDP
1981,2,CVP
1981,2,SP
1981,1,SVP
1981,0,BDP
1981,0,LP
1981,0,Andere
1982,2,FDP
1982,2,CVP
1982,2,SP
1982,1,SVP
1982,0,BDP
1982,0,LP
1982,0,Andere
1983,2,FDP
1983,2,CVP
1983,2,SP
1983,1,SVP
1983,0,BDP
1983,0,LP
1983,0,Andere
1984,2,FDP
1984,2,CVP
1984,2,SP
1984,1,SVP
1984,0,BDP
1984,0,LP
1984,0,Andere
1985,2,FDP
1985,2,CVP
1985,2,SP
1985,1,SVP
1985,0,BDP
1985,0,LP
1985,0,Andere
1986,2,FDP
1986,2,CVP
1986,2,SP
1986,1,SVP
1986,0,BDP
1986,0,LP
1986,0,Andere
1987,2,FDP
1987,2,CVP
1987,2,SP
1987,1,SVP
1987,0,BDP
1987,0,LP
1987,0,Andere
1988,2,FDP
1988,2,CVP
1988,2,SP
1988,1,SVP
1988,0,BDP
1988,0,LP
1988,0,Andere
1989,2,FDP
1989,2,CVP
1989,2,SP
1989,1,SVP
1989,0,BDP
1989,0,LP
1989,0,Andere
1990,2,FDP
1990,2,CVP
1990,2,SP
1990,1,SVP
1990,0,BDP
1990,0,LP
1990,0,Andere
1991,2,FDP
1991,2,CVP
1991,2,SP
1991,1,SVP
1991,0,BDP
1991,0,LP
1991,0,Andere
1992,2,FDP
1992,2,CVP
1992,2,SP
1992,1,SVP
1992,0,BDP
1992,0,LP
1992,0,Andere
1993,2,FDP
1993,2,CVP
1993,2,SP
1993,1,SVP
1993,0,BDP
1993,0,LP
1993,0,Andere
1994,2,FDP
1994,2,CVP
1994,2,SP
1994,1,SVP
1994,0,BDP
1994,0,LP
1994,0,Andere
1995,2,FDP
1995,2,CVP
1995,2,SP
1995,1,SVP
1995,0,BDP
1995,0,LP
1995,0,Andere
1996,2,FDP
1996,2,CVP
1996,2,SP
1996,1,SVP
1996,0,BDP
1996,0,LP
1996,0,Andere
1997,2,FDP
1997,2,CVP
1997,2,SP
1997,1,SVP
1997,0,BDP
1997,0,LP
1997,0,Andere
1998,2,FDP
1998,2,CVP
1998,2,SP
1998,1,SVP
1998,0,BDP
1998,0,LP
1998,0,Andere
1999,2,FDP
1999,2,CVP
1999,2,SP
1999,1,SVP
1999,0,BDP
1999,0,LP
1999,0,Andere
2000,2,FDP
2000,2,CVP
2000,2,SP
2000,1,SVP
2000,0,BDP
2000,0,LP
2000,0,Andere
2001,2,FDP
2001,2,CVP
2001,2,SP
2001,1,SVP
2001,0,BDP
2001,0,LP
2001,0,Andere
2002,2,FDP
2002,2,CVP
2002,2,SP
2002,1,SVP
2002,0,BDP
2002,0,LP
2002,0,Andere
2003,2,FDP
2003,2,CVP
2003,2,SP
2003,1,SVP
2003,0,BDP
2003,0,LP
2003,0,Andere
2004,2,FDP
2004,1,CVP
2004,2,SP
2004,2,SVP
2004,0,BDP
2004,0,LP
2004,0,Andere
2005,2,FDP
2005,1,CVP
2005,2,SP
2005,2,SVP
2005,0,BDP
2005,0,LP
2005,0,Andere
2006,2,FDP
2006,1,CVP
2006,2,SP
2006,2,SVP
2006,0,BDP
2006,0,LP
2006,0,Andere
2007,2,FDP
2007,1,CVP
2007,2,SP
2007,2,SVP
2007,0,BDP
2007,0,LP
2007,0,Andere
2008,2,FDP
2008,1,CVP
2008,2,SP
2008,1,SVP
2008,1,BDP
2008,0,LP
2008,0,Andere
2009,2,FDP
2009,1,CVP
2009,2,SP
2009,1,SVP
2009,1,BDP
2009,0,LP
2009,0,Andere
2010,2,FDP
2010,1,CVP
2010,2,SP
2010,1,SVP
2010,1,BDP
2010,0,LP
2010,0,Andere
2011,2,FDP
2011,1,CVP
2011,2,SP
2011,1,SVP
2011,1,BDP
2011,0,LP
2011,0,Andere
2012,2,FDP
2012,1,CVP
2012,2,SP
2012,2,SVP
2012,0,BDP
2012,0,LP
2012,0,Andere
2013,2,FDP
2013,1,CVP
2013,2,SP
2013,2,SVP
2013,0,BDP
2013,0,LP
2013,0,Andere
2014,2,FDP
2014,1,CVP
2014,2,SP
2014,2,SVP
2014,0,BDP
2014,0,LP
2014,0,Andere
2015,2,FDP
2015,1,CVP
2015,2,SP
2015,2,SVP
2015,0,BDP
2015,0,LP
2015,0,Andere
2016,2,FDP
2016,1,CVP
2016,2,SP
2016,2,SVP
2016,0,BDP
2016,0,LP
2016,0,Andere
2017,2,FDP
2017,1,CVP
2017,2,SP
2017,2,SVP
2017,0,BDP
2017,0,LP
2017,0,Andere
2018,2,FDP
2018,1,CVP
2018,2,SP
2018,2,SVP
2018,0,BDP
2018,0,LP
2018,0,Andere
2019,2,FDP
2019,1,CVP
2019,2,SP
2019,2,SVP
2019,0,BDP
2019,0,LP
2019,0,Andere
2020,2,FDP
2020,1,CVP
2020,2,SP
2020,2,SVP
2020,0,BDP
2020,0,LP
2020,0,Andere
2021,2,FDP
2021,1,CVP
2021,2,SP
2021,2,SVP
2021,0,BDP
2021,0,LP
2021,0,Andere
2022,2,FDP
2022,1,CVP
2022,2,SP
2022,2,SVP
2022,0,BDP
2022,0,LP
2022,0,Andere
2023,2,FDP
2023,1,CVP
2023,2,SP
2023,2,SVP
2023,0,BDP
2023,0,LP
2023,0,Andere
2024,2,FDP
2024,1,CVP
2024,2,SP
2024,2,SVP
2024,0,BDP
2024,0,LP
2024,0,Andere
